Factorisations Of Cunningham Numbers C-(6,n) = 6^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
            369601.84155540944421.3031462959351050977391.433295951605870884187046138704268693683498331456101
 221    11  5.239.409.1123.3433.4421.30839.760891.39721657.41183788762160210182927373892714194450477.292809159626128799\
            06981038053224349750080435362581534742226261840114605878898030311237732956026099
 222    20  5.7.31.43.149.223.3923.7919.7993.12211.142969.2569799.89728627.187333846633.334286825813.1096762734443.2054\
            788991719.1487716834806007369.3561693323285489089.484813024945269068265878512515024013260506641
 223     4  5.359734681.19261747635283.97292829482679458905440454828654607963293758388418138858015247539463766147404650\
            65957156359219519891667437419584037768151410378706960966051623688753481
 224    25  5.7^2.17.29.37.113.197.281.337.353.421.617.1297.1697.4817.55987.98801.4048129.4709377.5030761.81035189089.4\
            90972383553.10189440239012883075423169.1026745888453552697436968844848917190436254094111712318750754497
 225    21  5^3.19.43.311.601.1171.1201.2161.2467.82051.112771.320851.18198701.40185601.3388291201.19353635731.27104151\
            1600591342728451.2056583697041569929017137051051.1068364705229113014644941320930702644970812605201
 226    11  5.7.227.8363.107351.586471.54466954894479739.201436862864351419099.5043448999988542328333.14489158049461521\
            11264738471459190964062624173.217085653849206214541602569383859982900289160186960917
 227     5  5.1393781.141273137445779487073.1994969355576066549710715311391607571195545033.2224198142087058772064380626\
            91840875527337546493346046838927497247289860212014624686058107052156267473583
 228    25  5.7.13.31.37.43.97.191.229.457.1787.25309.43321.47881.137713.820459.2197693.48713705333.638073026189.103076\
            2781149.300537265358917.9736145643041809.219815829325921729.190324492938225748951.659334264781883756771821
 229     3  5.1505447.2089300282325984544212602652141061241209578168136283997772624247019175386468857229359465936316448\
            386743405739921287825581327177807126122903574663266689671321594201810728597
 230    19  5^2.7.11.47.101.139.311.461.1151.3221.44851.113958101.990000731.7505944891.23126990778420152651.25791752630\
            7345124973861.40752608049190149321816351186154151.15138465280223101464931287568892526939099241284821
 231    14  5.23.43.67.55987.3154757.1822428931.174090854323.45686117391553.1526323866435523.484847574510970082567.8400\
            2092056248016278479853.83531679812360869820818648177.128540676570302588488814103693493316947
 232    16  5.7.37.59.233.349.1297.32713.250793.4916777.6198809.2727192763388813.7369130657357778596659.900816990303226\
            0803977.105134528469779071670501631159328247729809.88574437255173019150535038179441097901397209
 233     5  5.568465670186789.3945524703927668484254051089.630076600824417505174717786052089.28844895767500091262273903\
            08450258255896558673319411906884818081717832253749415107699132221969977960826367
 234    24  5.7.19.31.43.53.79.937.1873.2467.3433.6553.9049.37571.46441.760891.868999.3143401.8857759.5958157609.126201\
